"instme","city","state","iclevel","net_student_tuition","loan_avg_amount","type"
"Emmaus Bible College","Dubuque","IA","four year",1944118,5328,"private NFP"
"Eastern Iowa Community College District","Davenport","IA","two year",6836983,5278,"public"
"Faith Baptist Bible College and Theological Semiry","Ankeny","IA","four year",2567017,6228,"private NFP"
"Grand View University","Des Moines","IA","four year",15225609,7754,"private NFP"
"Grinnell College","Grinnell","IA","four year",23719000,4403,"private NFP"
"Hawkeye Community College","Waterloo","IA","two year",6523383,5229,"public"
"Iowa Lakes Community College","Estherville","IA","two year",3763871,5486,"public"
"Iowa Health-Des Moines School of Radiologic Technology","Des Moines","IA","two year",73000,6750,"private NFP"
"Iowa State University","Ames","IA","four year",175912442,6437,"public"
"Iowa Wesleyan College","Mount Pleasant","IA","four year",5344286,6876,"private NFP"
"University of Iowa","Iowa City","IA","four year",237144000,5194,"public"
"Loras College","Dubuque","IA","four year",14462660,7587,"private NFP"
"Luther College","Decorah","IA","four year",39900884,6415,"private NFP"
"Maharishi University of Magement","Fairfield","IA","four year",7492977,9132,"private NFP"
"Mercy College of Health Sciences","Des Moines","IA","four year",8106712,10982,"private NFP"
"Morningside College","Sioux City","IA","four year",9982371,7901,"private NFP"
"Mount Mercy College","Cedar Rapids","IA","four year",18118799,6126,"private NFP"
"North Iowa Area Community College","Mason City","IA","two year",5594894,3171,"public"
"University of Northern Iowa","Cedar Falls","IA","four year",54674024,5566,"public"
"Northwestern College","Orange City","IA","four year",11338677,8534,"private NFP"
"Northwest Iowa Community College","Sheldon","IA","two year",3773533,5374,"public"
"Des Moines University-Osteopathic Medical Center","Des Moines","IA","four year",40901052,NA,"private NFP"
"Palmer College of Chiropractic","Davenport","IA","four year",52017660,8500,"private NFP"
"Saint Ambrose University","Davenport","IA","four year",35815096,10983,"private NFP"
"St Luke's College","Sioux City","IA","two year",1586879,7000,"private NFP"
"Simpson College","Indianola","IA","four year",16017466,7480,"private NFP"
"Southwestern Community College","Creston","IA","two year",1931761,5861,"public"
"Upper Iowa University","Fayette","IA","four year",30198201,9219,"private NFP"
"Waldorf College","Forest City","IA","four year",1641224,9093,"private NFP"
"Wartburg College","Waverly","IA","four year",19889145,7169,"private NFP"
"Wartburg Theological Semiry","Dubuque","IA","four year",969767,NA,"private NFP"
"Western Iowa Tech Community College","Sioux City","IA","two year",5908427,5123,"public"
"William Penn University","Oskaloosa","IA","four year",5797287,7484,"private NFP"
"Barton County Community College","Great Bend","KS","two year",5392074,5141,"public"
"Benedictine College","Atchison","KS","four year",190525,5990,"private NFP"
"Bethany College","Lindsborg","KS","four year",4145386,6624,"private NFP"
"Bethel College","North Newton","KS","four year",4743528,6870,"private NFP"
"Butler Community College","El Dorado","KS","two year",3453146,3543,"public"
"Central Baptist Theological Semiry","Shawnee","KS","four year",255154,NA,"private NFP"
"Central Christian College of Kansas","McPherson","KS","four year",2002652,8016,"private NFP"
"Colby Community College","Colby","KS","two year",726572,4247,"public"
"Donnelly College","Kansas City","KS","four year",406634,3456,"private NFP"
"Emporia State University","Emporia","KS","four year",20959958,5470,"public"
"Flint Hills Technical College","Emporia","KS","two year",1037828,5351,"public"
"Fort Hays State University","Hays","KS","four year",24981538,5342,"public"
"Barclay College","Haviland","KS","four year",2557751,4164,"private NFP"
"Friends University","Wichita","KS","four year",22498200,6928,"private NFP"
"Fort Scott Community College","Fort Scott","KS","two year",1611227,4599,"public"
"Hesston College","Hesston","KS","two year",4035667,6859,"private NFP"
"Highland Community College","Highland","KS","two year",1419745,5237,"public"
"Hutchinson Community College","Hutchinson","KS","two year",1617436,4252,"public"
"Johnson County Community College","Overland Park","KS","two year",21914724,3554,"public"
"Kansas City Kansas Community College","Kansas City","KS","two year",8051600,5408,"public"
"University of Kansas","Lawrence","KS","four year",204592711,5787,"public"
"Newman University","Wichita","KS","four year",12039751,6061,"private NFP"
"Manhattan Area Technical College","Manhattan","KS","two year",763752,5446,"public"
"Manhattan Christian College","Manhattan","KS","four year",1703014,4287,"private NFP"
"McPherson College","McPherson","KS","four year",3774777,9246,"private NFP"
"MidAmerica zarene University","Olathe","KS","four year",14054909,6340,"private NFP"
"North Central Kansas Technical College","Beloit","KS","two year",710851,5857,"public"
"Northwest Kansas Technical College","Goodland","KS","two year",946172,6403,"public"
"Pittsburg State University","Pittsburg","KS","four year",17924410,5229,"public"
"University of Saint Mary","Leavenworth","KS","four year",7685111,5838,"private NFP"
"Sali Area Technical College","Sali","KS","two year",1180526,4660,"public"
"Seward County Community College and Area Technical School","Liberal","KS","two year",436215,3599,"public"
"Southwestern College","Winfield","KS","four year",14096336,7720,"private NFP"
"Tabor College","Hillsboro","KS","four year",5798813,6269,"private NFP"
"Washburn University","Topeka","KS","four year",25176977,5794,"public"
"Wichita Area Technical College","Wichita","KS","two year",3183261,5527,"public"
"Wichita State University","Wichita","KS","four year",42594905,5483,"public"
"Asbury College","Wilmore","KY","four year",15737265,8869,"private NFP"
"Bellarmine University","Louisville","KY","four year",31362361,6232,"private NFP"
"Brescia University","Owensboro","KY","four year",2651958,4961,"private NFP"
"Campbellsville University","Campbellsville","KY","four year",11355565,5440,"private NFP"
"Centre College","Danville","KY","four year",26294111,5773,"private NFP"
"University of the Cumberlands","Williamsburg","KY","four year",10126399,5199,"private NFP"
"Eastern Kentucky University","Richmond","KY","four year",44289975,5381,"public"
"Frontier School of Midwifery and Family Nursing","Hyden","KY","four year",7936722,NA,"private NFP"
"Georgetown College","Georgetown","KY","four year",13863011,7162,"private NFP"
"Kentucky State University","Frankfort","KY","four year",8015057,7080,"public"
"University of Kentucky","Lexington","KY","four year",177564484,6032,"public"
"Kentucky Christian University","Grayson","KY","four year",2350314,5901,"private NFP"
"Lexington Theological Semiry","Lexington","KY","four year",99013,NA,"private NFP"
"Lindsey Wilson College","Columbia","KY","four year",7677336,5671,"private NFP"
"University of Louisville","Louisville","KY","four year",129645000,5177,"public"
"Mid-Continent University","Mayfield","KY","four year",5937603,3897,"private NFP"
"Midway College","Midway","KY","four year",11380538,5059,"private NFP"
"Morehead State University","Morehead","KY","four year",19832861,4998,"public"
"Murray State University","Murray","KY","four year",38236592,5355,"public"
"Northern Kentucky University","Highland Heights","KY","four year",77367000,5616,"public"
"Pikeville College","Pikeville","KY","four year",14362518,5703,"private NFP"
"Saint Catharine College","Saint Catharine","KY","four year",3974978,6619,"private NFP"
"The Southern Baptist Theological Semiry","Louisville","KY","four year",13642350,8184,"private NFP"
"Spalding University","Louisville","KY","four year",18369120,5418,"private NFP"
"Thomas More College","Crestview Hills","KY","four year",17857876,7320,"private NFP"
"Transylvania University","Lexington","KY","four year",9492218,6602,"private NFP"
"Western Kentucky University","Bowling Green","KY","four year",78171067,6187,"public"
"Baton Rouge General Medical Center School of Nursing","Baton Rouge","LA","two year",523518,8325,"private NFP"
"Baton Rouge General Medical Center-Radiologic Technology","Baton Rouge","LA","two year",23559,6731,"private NFP"
"Centery College of Louisia","Shreveport","LA","four year",6312528,5153,"private NFP"
"Grambling State University","Grambling","LA","four year",5141612,8016,"public"
"Louisia State University Health Sciences Center at New Orleans","New Orleans","LA","four year",19233464,NA,"public"
"Louisia State University at Alexandria","Alexandria","LA","four year",2485516,4345,"public"
"Louisia State University and Agricultural & Mechanical College","Baton Rouge","LA","four year",134429756,5743,"public"
"Louisia State University-Shreveport","Shreveport","LA","four year",3091476,5146,"public"
"Louisia College","Pineville","LA","four year",5512164,5312,"private NFP"
"Louisia Tech University","Ruston","LA","four year",31167466,5232,"public"
"Loyola University New Orleans","New Orleans","LA","four year",61817105,6333,"private NFP"
"McNeese State University","Lake Charles","LA","four year",14044106,5047,"public"
"University of New Orleans","New Orleans","LA","four year",35805069,4793,"public"
"New Orleans Baptist Theological Semiry","New Orleans","LA","four year",6322661,4760,"private NFP"
"Nicholls State University","Thibodaux","LA","four year",15110245,4483,"public"
"University of Louisia Monroe","Monroe","LA","four year",18338589,2501,"public"
"Notre Dame Semiry Graduate School of Theology","New Orleans","LA","four year",1093187,NA,"private NFP"
"Northwestern State University of Louisia","tchitoches","LA","four year",18708875,5235,"public"
"Our Lady of Holy Cross College","New Orleans","LA","four year",7837982,6023,"private NFP"
"Our Lady of the Lake College","Baton Rouge","LA","four year",10396099,5597,"private NFP"
"Saint Joseph Semiry College","St. Benedict","LA","four year",1091253,NA,"private NFP"
"Southeastern Louisia University","Hammond","LA","four year",22706525,4875,"public"
"University of Louisia at Lafayette","Lafayette","LA","four year",44442190,4726,"public"
"Tulane University of Louisia","New Orleans","LA","four year",209974000,7436,"private NFP"
"Xavier University of Louisia","New Orleans","LA","four year",28525319,5353,"private NFP"
"College of the Atlantic","Bar Harbor","ME","four year",10517896,5570,"private NFP"
"Bates College","Lewiston","ME","four year",64573365,6196,"private NFP"
"Bowdoin College","Brunswick","ME","four year",44525000,5205,"private NFP"
"Central Maine Medical Center College of Nursing and Health Professions","Lewiston","ME","two year",1075969,5810,"private NFP"
"Central Maine Medical Center School of Radiologic Technology","Lewiston","ME","two year",118488,NA,"private NFP"
"Colby College","Waterville","ME","four year",52028000,6953,"private NFP"
"Eastern Maine Community College","Bangor","ME","two year",2284006,4782,"public"
"Maine Maritime Academy","Castine","ME","four year",11003108,13955,"public"
"University of New England","Biddeford","ME","four year",76077343,10060,"private NFP"
"Northern Maine Community College","Presque Isle","ME","two year",333801,4924,"public"
"Maine College of Art","Portland","ME","four year",4896431,7532,"private NFP"
"Saint Joseph's College of Maine","Standish","ME","four year",19786486,13106,"private NFP"
"Southern Maine Community College","South Portland","ME","two year",8645891,4781,"public"
"Thomas College","Waterville","ME","four year",7143225,6624,"private NFP"
"Unity College","Unity","ME","four year",6893257,7844,"private NFP"
"Allegany College of Maryland","Cumberland","MD","two year",4509176,5245,"public"
"Anne Arundel Community College","Arnold","MD","two year",23294811,4551,"public"
"University of Baltimore","Baltimore","MD","four year",44977315,5585,"public"
"Baltimore Intertiol College","Baltimore","MD","four year",9294760,3777,"private NFP"
"Bowie State University","Bowie","MD","four year",19728941,6196,"public"
"Capitol College","Laurel","MD","four year",6611339,5503,"private NFP"
"Cecil College","North East","MD","two year",4272307,4690,"public"
"College of Southern Maryland","La Plata","MD","two year",16071472,3842,"public"
"Chesapeake College","Wye Mills","MD","two year",2423974,5667,"public"
"Washington Adventist University","Takoma Park","MD","four year",11088586,10545,"private NFP"
"Coppin State University","Baltimore","MD","four year",1992947,4739,"public"
"Frederick Community College","Frederick","MD","two year",9199623,4060,"public"
"Frostburg State University","Frostburg","MD","four year",19034181,8057,"public"
"Garrett College","McHenry","MD","two year",932985,5156,"public"
"Goucher College","Baltimore","MD","four year",29508150,6091,"private NFP"
"Hagerstown Community College","Hagerstown","MD","two year",7798557,4084,"public"
"Harford Community College","Bel Air","MD","two year",9419798,3658,"public"
"Hood College","Frederick","MD","four year",19937307,9184,"private NFP"
"Howard Community College","Columbia","MD","two year",21888360,4439,"public"
"Loyola University Maryland","Baltimore","MD","four year",108424379,8070,"private NFP"
"University of Maryland-University College","Adelphi","MD","four year",236709337,6947,"public"
"University of Maryland-Baltimore","Baltimore","MD","four year",83591375,NA,"public"
"University of Maryland-Baltimore County","Baltimore","MD","four year",57479215,6276,"public"
"University of Maryland-College Park","College Park","MD","four year",321803904,6608,"public"
"Maryland Institute College of Art","Baltimore","MD","four year",43843530,8453,"private NFP"
"University of Maryland Eastern Shore","Princess Anne","MD","four year",7896355,6500,"public"
"Morgan State University","Baltimore","MD","four year",27118903,9655,"public"
"Mount St. Mary's University","Emmitsburg","MD","four year",26825610,8464,"private NFP"
"College of Notre Dame of Maryland","Baltimore","MD","four year",21849586,7441,"private NFP"
"Prince George's Community College","Largo","MD","two year",21711447,4728,"public"
"St. Mary's Semiry & University","Baltimore","MD","four year",1257495,NA,"private NFP"
"Salisbury University","Salisbury","MD","four year",40460782,5708,"public"
"St. Mary's College of Maryland","Saint Mary's City","MD","four year",20945863,7211,"public"
"Sojourner-Douglass College","Baltimore","MD","four year",7855360,7905,"private NFP"
"St John's College","Anpolis","MD","four year",11886321,5985,"private NFP"
"Towson University","Towson","MD","four year",102154401,6327,"public"
"Tai Sophia Institute","Laurel","MD","four year",6399344,NA,"private NFP"
"Stevenson University","Stevenson","MD","four year",32738938,6974,"private NFP"
"Washington Bible College-Capital Bible Semiry","Lanham","MD","four year",4772341,6550,"private NFP"
"Washington College","Chestertown","MD","four year",27157909,7456,"private NFP"
"Washington Theological Union","Washington","DC","four year",1329127,NA,"private NFP"
"McDaniel College","Westminster","MD","four year",34115000,6357,"private NFP"
"Wor-Wic Community College","Salisbury","MD","two year",1465477,3291,"public"
"American Intertiol College","Springfield","MA","four year",27120051,7429,"private NFP"
"Amherst College","Amherst","MA","four year",29108658,5459,"private NFP"
"Andover Newton Theological School","Newton Centre","MA","four year",1067359,NA,"private NFP"
"An Maria College","Paxton","MA","four year",13306813,11876,"private NFP"
"Assumption College","Worcester","MA","four year",36874965,8212,"private NFP"
"Atlantic Union College","South Lancaster","MA","four year",3035110,6885,"private NFP"
"Babson College","Wellesley","MA","four year",94028569,6917,"private NFP"
"Boston Baptist College","Boston","MA","four year",1070049,9354,"private NFP"
"Bay Path College","Longmeadow","MA","four year",16640864,9277,"private NFP"
"Bentley University","Waltham","MA","four year",115277022,6806,"private NFP"
"Berklee College of Music","Boston","MA","four year",106158370,12874,"private NFP"
"Berkshire Community College","Pittsfield","MA","two year",3101842,2782,"public"
"Boston Architectural College","Boston","MA","four year",18770255,11668,"private NFP"
"Boston Graduate School of Psychoalysis Inc","Brookline","MA","four year",1406924,NA,"private NFP"
"Boston College","Chestnut Hill","MA","four year",342822644,4070,"private NFP"
"The Boston Conservatory","Boston","MA","four year",15385030,12078,"private NFP"
"Boston University","Boston","MA","four year",716153278,9825,"private NFP"
"Brandeis University","Waltham","MA","four year",103608229,5393,"private NFP"
"Bridgewater State College","Bridgewater","MA","four year",53306449,8590,"public"
"Bristol Community College","Fall River","MA","two year",7315276,3450,"public"
"Sigture Healthcare Brockton Hospital School of Nursing","Brockton","MA","two year",4040769,7388,"private NFP"
"Bunker Hill Community College","Boston","MA","two year",10348858,5006,"public"
"Cambridge College","Cambridge","MA","four year",39267961,6567,"private NFP"
"Cape Cod Community College","West Barnstable","MA","two year",5772459,4613,"public"
"Laboure College","Boston","MA","four year",6704597,10063,"private NFP"
"Clark University","Worcester","MA","four year",51304383,6252,"private NFP"
"Conway School of Landscape Design","Conway","MA","four year",559470,NA,"private NFP"
"Curry College","Milton","MA","four year",48994883,9895,"private NFP"
"Dean College","Franklin","MA","four year",13593577,5643,"private NFP"
"Eastern zarene College","Quincy","MA","four year",10301460,8494,"private NFP"
"Emerson College","Boston","MA","four year",93841895,8462,"private NFP"
"Emmanuel College","Boston","MA","four year",29216670,9190,"private NFP"
"Endicott College","Beverly","MA","four year",43283685,9326,"private NFP"
"Episcopal Divinity School","Cambridge","MA","four year",11911,NA,"private NFP"
"Fisher College","Boston","MA","four year",10245822,6389,"private NFP"
"Fitchburg State College","Fitchburg","MA","four year",22108385,5473,"public"
"Framingham State College","Framingham","MA","four year",24420220,6107,"public"
"Benjamin Franklin Institute of Technology","Boston","MA","four year",4665704,5967,"private NFP"
"Gordon College","Wenham","MA","four year",26976494,8386,"private NFP"
"Gordon-Conwell Theological Semiry","South Hamilton","MA","four year",10391621,NA,"private NFP"
"Greenfield Community College","Greenfield","MA","two year",3819577,4165,"public"
"Hampshire College","Amherst","MA","four year",29004856,5273,"private NFP"
"Hebrew College","Newton Centre","MA","four year",4689635,NA,"private NFP"
"Hellenic College-Holy Cross Greek Orthodox School of Theology","Brookline","MA","four year",534051,2699,"private NFP"
"College of the Holy Cross","Worcester","MA","four year",74906981,6441,"private NFP"
"Holyoke Community College","Holyoke","MA","two year",6438626,3597,"public"
"Lasell College","Newton","MA","four year",19053295,8261,"private NFP"
"Lawrence Memorial Hospital School of Nursing","Medford","MA","two year",2733681,NA,"private NFP"
"Longy School of Music","Cambridge","MA","four year",3482859,5418,"private NFP"
"Marian Court College","Swampscott","MA","two year",2258927,6402,"private NFP"
"Massachusetts Bay Community College","Wellesley Hills","MA","two year",9179622,4541,"public"
"Massachusetts College of Pharmacy and Health Sciences","Boston","MA","four year",103044622,14553,"private NFP"
"Massachusetts College of Art and Design","Boston","MA","four year",19932369,6294,"public"
"Massachusetts Institute of Technology","Cambridge","MA","four year",230410000,5994,"private NFP"
"Massachusetts Maritime Academy","Buzzards Bay","MA","four year",10544202,7362,"public"
"Massachusetts School of Professiol Psychology","Boston","MA","four year",11770145,NA,"private NFP"
"Merrimack College","North Andover","MA","four year",35308380,6050,"private NFP"
"MGH Institute of Health Professions","Boston","MA","four year",20593000,NA,"private NFP"
"Middlesex Community College","Bedford","MA","two year",17729834,3511,"public"
"Montserrat College of Art","Beverly","MA","four year",5141820,9993,"private NFP"
"Mount Holyoke College","South Hadley","MA","four year",39635935,4586,"private NFP"
"Mount Ida College","Newton","MA","four year",19729644,8588,"private NFP"
"Mount Wachusett Community College","Gardner","MA","two year",8226362,2247,"public"
"School of the Museum of Fine Arts-Boston","Boston","MA","four year",12201773,9240,"private NFP"
"The New England Conservatory of Music","Boston","MA","four year",18222719,9144,"private NFP"
"New England College of Optometry","Boston","MA","four year",15713844,NA,"private NFP"
"New England School of Acupuncture","Newton","MA","four year",2961631,NA,"private NFP"
"New England Law-Boston","Boston","MA","four year",29188546,NA,"private NFP"
"Newbury College-Brookline","Brookline","MA","four year",10806646,8219,"private NFP"
"Nichols College","Dudley","MA","four year",18742507,7761,"private NFP"
"Massachusetts College of Liberal Arts","North Adams","MA","four year",8246979,5304,"public"
"North Bennet Street School","Boston","MA","two year",2865301,8071,"private NFP"
"North Shore Community College","Danvers","MA","two year",10734974,2815,"public"
"Northeastern University","Boston","MA","four year",497710126,6264,"private NFP"
"Northern Essex Community College","Haverhill","MA","two year",7438779,3819,"public"
"College of Our Lady of the Elms","Chicopee","MA","four year",10970402,7615,"private NFP"
"Pine Manor College","Chestnut Hill","MA","four year",2389991,7728,"private NFP"
"Blessed John XXIII tiol Semiry","Weston","MA","four year",1112200,NA,"private NFP"
"Quincy College","Quincy","MA","two year",13680567,5420,"public"
"Quinsigamond Community College","Worcester","MA","two year",15001042,3952,"public"
"Regis College","Weston","MA","four year",19110792,6276,"private NFP"
"Roxbury Community College","Roxbury Crossing","MA","two year",488889,NA,"public"
"Saint John's Semiry","Brighton","MA","four year",1192491,NA,"private NFP"
"Salem State College","Salem","MA","four year",41951652,6659,"public"
"Simmons College","Boston","MA","four year",83229521,10570,"private NFP"
"Bard College at Simon's Rock","Great Barrington","MA","four year",8016129,7003,"private NFP"
"Smith College","Northampton","MA","four year",58719750,4718,"private NFP"
"Springfield College","Springfield","MA","four year",56648796,7890,"private NFP"
"Springfield Technical Community College","Springfield","MA","two year",4470170,2371,"public"
"Stonehill College","Easton","MA","four year",44439513,7034,"private NFP"
"Suffolk University","Boston","MA","four year",191068458,7551,"private NFP"
"Tufts University","Medford","MA","four year",275990550,5621,"private NFP"
"Wellesley College","Wellesley","MA","four year",43832000,3955,"private NFP"
"Wentworth Institute of Technology","Boston","MA","four year",58402174,5774,"private NFP"
"Western New England College","Springfield","MA","four year",63706833,8078,"private NFP"
"Westfield State College","Westfield","MA","four year",28359700,5806,"public"
"Wheaton College","Norton","MA","four year",38286291,5921,"private NFP"
"Wheelock College","Boston","MA","four year",17166675,9769,"private NFP"
"Williams College","Williamstown","MA","four year",40121449,4812,"private NFP"
"Worcester Polytechnic Institute","Worcester","MA","four year",85089000,10834,"private NFP"
"Worcester State College","Worcester","MA","four year",24789262,5959,"public"
"Adrian College","Adrian","MI","four year",14084661,6390,"private NFP"
"Albion College","Albion","MI","four year",22618204,7666,"private NFP"
"Alma College","Alma","MI","four year",14265385,7992,"private NFP"
"Alpe Community College","Alpe","MI","two year",1777075,4199,"public"
"Andrews University","Berrien Springs","MI","four year",38096645,6944,"private NFP"
"Aquis College","Grand Rapids","MI","four year",20900490,5059,"private NFP"
"Bay de Noc Community College","Escaba","MI","two year",2026735,4098,"public"
"Calvin College","Grand Rapids","MI","four year",60298114,7489,"private NFP"
"Calvin Theological Semiry","Grand Rapids","MI","four year",420246,NA,"private NFP"
"Michigan School of Professiol Psychology","Farmington Hills","MI","four year",2633228,NA,"private NFP"
"Central Michigan University","Mount Pleasant","MI","four year",164541261,6720,"public"
"Mott Community College","Flint","MI","two year",5279359,4706,"public"
"Concordia University-Ann Arbor","Ann Arbor","MI","four year",5535704,8275,"private NFP"
"Cranbrook Academy of Art","Bloomfield Hills","MI","four year",4613248,NA,"private NFP"
"College for Creative Studies","Detroit","MI","four year",23436568,7603,"private NFP"
"Delta College","University Center","MI","two year",10997032,3613,"public"
"Michigan State University College of Law","East Lansing","MI","four year",22498054,NA,"private NFP"
"University of Detroit Mercy","Detroit","MI","four year",88771986,6670,"private NFP"
"Eastern Michigan University","Ypsilanti","MI","four year",131489347,6952,"public"
"Ferris State University","Big Rapids","MI","four year",80343557,7198,"public"
"Glen Oaks Community College","Centreville","MI","two year",623788,4277,"public"
"Kettering University","Flint","MI","four year",34782160,9287,"private NFP"
"Gogebic Community College","Ironwood","MI","two year",1114708,3822,"public"
"Grace Bible College","Wyoming","MI","four year",1162197,7478,"private NFP"
"Grand Rapids Community College","Grand Rapids","MI","two year",35559475,4218,"public"
"Grand Valley State University","Allendale","MI","four year",164382924,6053,"public"
"Great Lakes Christian College","Lansing","MI","four year",923812,6827,"private NFP"
"Henry Ford Community College","Dearborn","MI","two year",16109526,4947,"public"
"Hope College","Holland","MI","four year",42919604,7005,"private NFP"
"Jackson Community College","Jackson","MI","two year",8592964,5967,"public"
"Kalamazoo College","Kalamazoo","MI","four year",22890605,5502,"private NFP"
"Kalamazoo Valley Community College","Kalamazoo","MI","two year",19758,4644,"public"
"Kellogg Community College","Battle Creek","MI","two year",2727347,5608,"public"
"Lake Michigan College","Benton Harbor","MI","two year",4075653,4716,"public"
"Lake Superior State University","Sault Ste Marie","MI","four year",11500373,5842,"public"
"Lansing Community College","Lansing","MI","two year",16419357,5694,"public"
"Lawrence Technological University","Southfield","MI","four year",41870924,11975,"private NFP"
"Macomb Community College","Warren","MI","two year",24133988,2638,"public"
"Madon University","Livonia","MI","four year",30247490,5554,"private NFP"
"Marygrove College","Detroit","MI","four year",13081587,8189,"private NFP"
"Rochester College","Rochester Hills","MI","four year",5983848,6645,"private NFP"
"University of Michigan-Ann Arbor","Ann Arbor","MI","four year",632792000,6727,"public"
"Michigan Barber School Inc","Detroit","MI","two year",258075,NA,"private NFP"
"Michigan State University","East Lansing","MI","four year",476209100,6326,"public"
"Michigan Technological University","Houghton","MI","four year",62991000,6877,"public"
"University of Michigan-Dearborn","Dearborn","MI","four year",53714000,5855,"public"
"University of Michigan-Flint","Flint","MI","four year",46152000,5535,"public"
"Mid Michigan Community College","Harrison","MI","two year",12719215,6153,"public"
"Monroe County Community College","Monroe","MI","two year",4438485,4354,"public"
"Montcalm Community College","Sidney","MI","two year",731049,3875,"public"
"Muskegon Community College","Muskegon","MI","two year",3913500,4153,"public"
"North Central Michigan College","Petoskey","MI","two year",1015534,2764,"public"
"Northern Michigan University","Marquette","MI","four year",41229067,5665,"public"
"Northwestern Michigan College","Traverse City","MI","two year",10500722,5409,"public"
"Oakland University","Rochester Hills","MI","four year",117105170,7221,"public"
"Olivet College","Olivet","MI","four year",9325619,7600,"private NFP"
"Kuyper College","Grand Rapids","MI","four year",3488464,6956,"private NFP"
"Sacred Heart Major Semiry","Detroit","MI","four year",2962152,2738,"private NFP"
"Sagiw Valley State University","University Center","MI","four year",46043031,7464,"public"
"Schoolcraft College","Livonia","MI","two year",19530396,4217,"public"
"Sie Heights University","Adrian","MI","four year",15271191,10088,"private NFP"
"St Clair County Community College","Port Huron","MI","two year",8205358,4097,"public"
"Southwestern Michigan College","Dowagiac","MI","two year",8983655,4668,"public"
"Spring Arbor University","Spring Arbor","MI","four year",26224987,8542,"private NFP"
"Finlandia University","Hancock","MI","four year",3226539,7038,"private NFP"
"Thomas M. Cooley Law School","Lansing","MI","four year",84888191,NA,"private NFP"
"Walsh College of Accountancy and Business Administration","Troy","MI","four year",26296879,NA,"private NFP"
"Washtew Community College","Ann Arbor","MI","two year",9782901,5547,"public"
"Wayne State University","Detroit","MI","four year",194470485,6142,"public"
"West Shore Community College","Scottville","MI","two year",262507,3938,"public"
"Western Michigan University","Kalamazoo","MI","four year",149593354,5869,"public"
"Western Theological Semiry","Holland","MI","four year",755127,NA,"private NFP"
"Alexandria Technical College","Alexandria","MN","two year",6636000,6462,"public"
"Anoka Technical College","Anoka","MN","two year",5527000,5951,"public"
"Apostolic Bible Institute Inc","Saint Paul","MN","four year",171405,5120,"private NFP"
"Augsburg College","Minneapolis","MN","four year",43816113,7022,"private NFP"
"Riverland Community College","Austin","MN","two year",6751000,5677,"public"
"Bemidji State University","Bemidji","MN","four year",17620000,7942,"public"
"Bethany Lutheran College","Mankato","MN","four year",4713156,7127,"private NFP"
"Carleton College","Northfield","MN","four year",48790334,4900,"private NFP"
"Concordia College at Moorhead","Moorhead","MN","four year",44427156,8330,"private NFP"
"Concordia University-Saint Paul","Saint Paul","MN","four year",22482638,8356,"private NFP"
"Dakota County Technical College","Rosemount","MN","two year",9281000,6370,"public"
"Lake Superior College","Duluth","MN","two year",10199000,6182,"public"
"Minnesota State Community and Technical College","Fergus Falls","MN","two year",10516000,5759,"public"
"Gustavus Adolphus College","Saint Peter","MN","four year",38771744,7536,"private NFP"
"Hamline University","Saint Paul","MN","four year",60605369,8466,"private NFP"
"Hazelden Graduate School of Addiction Studies","Center City","MN","four year",1456383,NA,"private NFP"
"Hennepin Technical College","Brooklyn Park","MN","two year",12049000,5969,"public"
"Hibbing Community College-A Technical and Community College","Hibbing","MN","two year",2961000,5346,"public"
"Inver Hills Community College","Inver Grove Heights","MN","two year",13079000,5243,"public"
"Luther Semiry","Saint Paul","MN","four year",2746067,NA,"private NFP"
"Macalester College","Saint Paul","MN","four year",38391000,5527,"private NFP"
"Minnesota State University-Mankato","Mankato","MN","four year",59592000,7212,"public"
"Mayo School of Health Sciences","Rochester","MN","four year",3235547,NA,"private NFP"
"Metropolitan State University","Saint Paul","MN","four year",23868000,4902,"public"
"University of Minnesota-Crookston","Crookston","MN","four year",4998980,6197,"public"
"Minneapolis College of Art and Design","Minneapolis","MN","four year",14942275,6844,"private NFP"
"Minneapolis Community and Technical College","Minneapolis","MN","two year",13859000,6207,"public"
"Crossroads College","Rochester","MN","four year",1064688,6829,"private NFP"
"University of Minnesota-Duluth","Duluth","MN","four year",72177087,6942,"public"
"University of Minnesota-Morris","Morris","MN","four year",4728285,6331,"public"
"Minnesota State University-Moorhead","Moorhead","MN","four year",25599000,7286,"public"
"North Hennepin Community College","Brooklyn Park","MN","two year",13254000,5069,"public"
"Normandale Community College","Bloomington","MN","two year",21976000,4942,"public"
"North Central University","Minneapolis","MN","four year",9524431,7258,"private NFP"
"Northland Community and Technical College","Thief River Falls","MN","two year",7331000,5175,"public"
"Northwestern College","Saint Paul","MN","four year",24640199,10916,"private NFP"
"Northwestern Health Sciences University","Bloomington","MN","four year",16421041,2331,"private NFP"
"Oak Hills Christian College","Bemidji","MN","four year",532512,6657,"private NFP"
"Pine Technical College","Pine City","MN","two year",260000,6287,"public"
"Rainy River Community College","Intertiol Falls","MN","two year",801000,4696,"public"
"Rochester Community and Technical College","Rochester","MN","two year",13316000,5207,"public"
"College of Saint Benedict","Saint Joseph","MN","four year",32952608,8408,"private NFP"
"Saint Cloud Technical College","Saint Cloud","MN","two year",9035000,5158,"public"
"Saint Cloud State University","Saint Cloud","MN","four year",61661000,8152,"public"
"Saint Johns University","Collegeville","MN","four year",31169855,7880,"private NFP"
