"instme","city","state","iclevel","net_student_tuition","loan_avg_amount","type"
"California State University-San Berrdino","San Berrdino","CA","four year",15944739,4742,"public"
"California State Polytechnic University-Pomo","Pomo","CA","four year",25493406,5124,"public"
"California State University-Chico","Chico","CA","four year",39246555,4336,"public"
"California State University-Dominguez Hills","Carson","CA","four year",16019979,3786,"public"
"California State University-Fresno","Fresno","CA","four year",13619660,5087,"public"
"California State University-Fullerton","Fullerton","CA","four year",78574540,4798,"public"
"California State University-East Bay","Hayward","CA","four year",51876097,5496,"public"
"California State University-Long Beach","Long Beach","CA","four year",65475090,4865,"public"
"California State University-Los Angeles","Los Angeles","CA","four year",21031688,3976,"public"
"California State University-Northridge","Northridge","CA","four year",65621177,4908,"public"
"California State University-Sacramento","Sacramento","CA","four year",52465279,5173,"public"
"University of California-Berkeley","Berkeley","CA","four year",300949000,5199,"public"
"University of California-Davis","Davis","CA","four year",227986000,5281,"public"
"University of California-Irvine","Irvine","CA","four year",149804000,5385,"public"
"University of California-Los Angeles","Los Angeles","CA","four year",348467000,5675,"public"
"University of California-Riverside","Riverside","CA","four year",99525000,5134,"public"
"University of California-San Diego","La Jolla","CA","four year",197969000,5131,"public"
"University of California-San Francisco","San Francisco","CA","four year",15093000,NA,"public"
"University of California-Santa Barbara","Santa Barbara","CA","four year",146569000,5086,"public"
"University of California-Santa Cruz","Santa Cruz","CA","four year",104916000,5484,"public"
"Institute of Transpersol Psychology","Palo Alto","CA","four year",7949146,NA,"private NFP"
"California Christian College","Fresno","CA","four year",225689,4625,"private NFP"
"California Institute of the Arts","Valencia","CA","four year",33176432,10088,"private NFP"
"California Maritime Academy","Vallejo","CA","four year",4315906,6586,"public"
"California Western School of Law","San Diego","CA","four year",32311363,NA,"private NFP"
"Cada College","Redwood City","CA","two year",1742062,5000,"public"
"College of the Canyons","Santa Clarita","CA","two year",250523,5862,"public"
"Cerritos College","Norwalk","CA","two year",6260010,3558,"public"
